GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
321.0,102.0,89.0,37.0,Spring 2020,neu,2
310.0,100.0,92.5,38.0,Spring 2020,neu,2
307.0,101.0,9.8,24.0,Spring 2020,neu,2
311.0,107.0,7.98,12.0,Spring 2020,neu,2
316.0,104.0,9.44,28.0,Spring 2020,neu,2
324.0,114.0,7.83,43.0,Spring 2020,neu,2
319.0,113.0,8.25,0.0,Spring 2020,neu,2
322.0,108.0,8.36,11.0,Spring 2020,neu,2
309.0,99.0,8.04,20.0,Fall 2020,neu,2
314.0,102.0,8.59,16.0,Spring 2020,neu,2
322.0,110.0,79.0,60.0,Spring 2020,neu,2
308.0,105.0,6.3,60.0,Spring 2020,neu,2
319.0,114.0,8.58,18.0,Spring 2020,neu,2
313.0,109.0,77.83,30.0,Spring 2020,neu,2
318.0,103.0,8.2,24.0,Spring 2020,neu,2
328.0,109.0,8.82,12.0,Spring 2020,neu,2
306.0,100.0,8.21,48.0,Spring 2020,neu,2
315.0,106.0,7.71,25.0,Spring 2020,neu,2
310.0,108.0,80.0,33.0,Spring 2020,neu,2
310.0,101.0,8.34,39.0,Spring 2020,neu,2
310.0,101.0,8.75,0.0,Spring 2020,neu,2
308.0,90.0,8.96,10.0,Fall 2019,neu,2
309.0,109.0,8.4,0.0,Spring 2020,neu,2
318.0,111.0,8.93,30.0,Fall 2019,neu,2
318.0,104.0,9.38,17.0,Fall 2019,neu,2
313.0,106.0,8.83,0.0,Fall 2019,neu,2
313.0,114.0,3.18,44.0,Fall 2019,neu,2
317.0,105.0,8.9,41.0,Fall 2019,neu,2
325.0,114.0,89.52,1.0,Fall 2019,neu,2
329.0,114.0,8.97,40.0,Fall 2020,neu,2
312.0,106.0,7.65,21.0,Fall 2019,neu,2
326.0,110.0,8.04,36.0,Fall 2019,neu,2
322.0,101.0,8.3,14.0,Fall 2019,neu,2
317.0,114.0,85.0,2.0,Fall 2019,neu,2
312.0,109.0,7.69,60.0,Fall 2020,neu,2
310.0,111.0,8.13,1.0,Fall 2019,neu,2
302.0,93.0,62.2,9.0,Fall 2019,neu,2
318.0,106.0,76.46,6.0,Fall 2018,neu,2
311.0,102.0,71.0,23.0,Fall 2019,neu,2
316.0,103.0,8.6,6.0,Fall 2019,neu,2
327.0,106.0,8.88,1.0,Fall 2019,neu,2
308.0,102.0,0.0,12.0,Fall 2019,neu,2
310.0,103.0,83.4,18.0,Fall 2019,neu,2
314.0,103.0,8.9,17.0,Fall 2019,neu,2
314.0,102.0,73.48,15.0,Fall 2019,neu,2
329.0,114.0,8.13,3.0,Fall 2019,neu,2
305.0,104.0,7.92,28.0,Fall 2019,neu,2
322.0,111.0,9.3,0.0,Spring 2020,neu,2
325.0,111.0,8.7,7.0,Fall 2019,neu,2
319.0,113.0,8.47,14.0,Fall 2019,neu,2
314.0,118.0,80.7,30.0,Fall 2019,neu,2
312.0,109.0,80.8,6.0,Fall 2019,neu,2
320.0,108.0,8.49,30.0,Fall 2019,neu,2
320.0,106.0,67.6,30.0,Fall 2018,neu,2
323.0,111.0,9.74,23.0,Fall 2019,neu,2
326.0,103.0,9.51,42.0,Fall 2019,neu,2
317.0,109.0,75.0,41.0,Fall 2019,neu,2
311.0,102.0,8.9,37.0,Fall 2019,neu,2
318.0,110.0,8.75,53.0,Fall 2019,neu,2
317.0,106.0,8.84,5.0,Fall 2019,neu,2
310.0,101.0,8.46,11.0,Fall 2019,neu,2
316.0,113.0,7.5,30.0,Fall 2019,neu,2
330.0,114.0,7.6,6.0,Fall 2018,neu,2
319.0,117.0,8.72,34.0,Fall 2019,neu,2
314.0,102.0,7.0,20.0,Fall 2019,neu,2
309.0,98.0,8.32,18.0,Fall 2019,neu,2
310.0,95.0,9.4,0.0,Fall 2019,neu,2
308.0,101.0,7.84,2.0,Fall 2019,neu,2
319.0,108.0,85.4,67.0,Fall 2018,neu,2
310.0,106.0,82.82,60.0,Fall 2019,neu,2
326.0,109.0,7.44,21.0,Fall 2020,neu,2
325.0,115.0,89.61,1.0,Fall 2019,neu,2
315.0,104.0,9.5,37.0,Fall 2019,neu,2
316.0,106.0,78.0,10.0,Spring 2020,neu,2
314.0,114.0,8.82,16.0,Fall 2019,neu,2
307.0,88.0,80.0,36.0,Fall 2019,neu,2
330.0,113.0,68.05,48.0,Fall 2019,neu,2
316.0,99.0,74.2,30.0,Fall 2019,neu,2
311.0,107.0,8.06,0.0,Fall 2019,neu,2
316.0,110.0,7.96,13.0,Fall 2019,neu,2
306.0,113.0,7.8,12.0,Fall 2019,neu,2
325.0,106.0,73.0,8.0,Fall 2019,neu,2
317.0,114.0,8.8,4.0,Fall 2019,neu,2
314.0,103.0,8.16,24.0,Fall 2019,neu,2
324.0,108.0,82.3,6.0,Fall 2019,neu,2
305.0,0.0,8.21,13.0,Fall 2019,neu,2
324.0,112.0,7.2,8.0,Fall 2019,neu,2
318.0,102.0,7.0,4.0,Fall 2019,neu,2
327.0,114.0,8.38,48.0,Fall 2019,neu,2
312.0,93.0,9.2,5.0,Fall 2019,neu,2
319.0,99.0,7.18,30.0,Fall 2019,neu,2
306.0,100.0,8.9,20.0,Fall 2019,neu,2
304.0,95.0,7.06,0.0,Fall 2019,neu,2
320.0,109.0,0.0,24.0,Fall 2019,neu,2
306.0,111.0,8.88,0.0,Spring 2020,neu,2
332.0,115.0,75.0,9.0,Fall 2019,neu,2
317.0,101.0,8.65,57.0,Fall 2019,neu,2
