GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
326.0,115.0,8.32,9.0,Fall 2020,utd,2
308.0,101.0,8.82,1.0,Fall 2020,utd,2
330.0,113.0,8.16,3.0,Fall 2020,utd,2
310.0,109.0,8.38,18.0,Fall 2020,utd,2
323.0,108.0,8.54,0.0,Fall 2020,utd,2
318.0,111.0,8.45,6.0,Fall 2020,utd,2
315.0,104.0,9.26,0.0,Fall 2020,utd,2
316.0,95.0,8.57,4.0,Fall 2020,utd,2
309.0,109.0,85.0,10.0,Fall 2020,utd,2
314.0,110.0,8.52,41.0,Spring 2020,utd,2
308.0,101.0,8.53,42.0,Fall 2020,utd,2
310.0,105.0,76.61,19.0,Fall 2020,utd,2
312.0,114.0,9.22,18.0,Fall 2020,utd,2
314.0,108.0,9.2,8.0,Fall 2020,utd,2
321.0,110.0,9.11,31.0,Fall 2020,utd,2
312.0,103.0,9.0,15.0,Spring 2020,utd,2
308.0,97.0,8.37,66.0,Fall 2020,utd,2
309.0,95.0,8.1,0.0,Fall 2020,utd,2
309.0,99.0,8.65,20.0,Fall 2020,utd,2
307.0,109.0,7.84,18.0,Fall 2020,utd,2
313.0,99.0,8.47,34.0,Fall 2020,utd,2
315.0,101.0,8.66,26.0,Spring 2020,utd,2
313.0,91.0,9.0,30.0,Fall 2020,utd,2
316.0,106.0,9.04,39.0,Fall 2020,utd,2
319.0,114.0,9.461,26.0,Fall 2020,utd,2
315.0,99.0,7.8,16.0,Fall 2020,utd,2
308.0,101.0,8.2,14.0,Fall 2020,utd,2
310.0,96.0,8.62,23.0,Fall 2020,utd,2
310.0,101.0,8.4,20.0,Fall 2020,utd,2
304.0,101.0,82.1,26.0,Fall 2020,utd,2
304.0,91.0,9.2,5.0,Spring 2020,utd,2
327.0,106.0,8.34,9.0,Fall 2020,utd,2
310.0,98.0,8.84,4.0,Fall 2020,utd,2
316.0,105.0,8.99,1.0,Fall 2020,utd,2
318.0,109.0,8.3,2.0,Fall 2020,utd,2
315.0,100.0,8.6,2.0,Fall 2020,utd,2
311.0,109.0,7.62,28.0,Fall 2020,utd,2
306.0,97.0,9.39,24.0,Spring 2020,utd,2
313.0,100.0,7.6,36.0,Spring 2020,utd,2
309.0,109.0,8.4,12.0,Spring 2020,utd,2
323.0,114.0,8.94,23.0,Fall 2020,utd,2
322.0,101.0,8.5,40.0,Spring 2020,utd,2
308.0,101.0,8.29,3.0,Fall 2020,utd,2
317.0,103.0,8.1,45.0,Fall 2020,utd,2
318.0,109.0,7.45,38.0,Spring 2020,utd,2
312.0,100.0,8.27,3.0,Fall 2020,utd,2
316.0,104.0,8.82,7.0,Fall 2020,utd,2
314.0,101.0,8.37,16.0,Fall 2018,utd,2
323.0,112.0,8.0,18.0,Fall 2020,utd,2
314.0,104.0,8.1,12.0,Spring 2020,utd,2
318.0,100.0,8.3,0.0,Spring 2020,utd,2
321.0,105.0,8.55,20.0,Fall 2020,utd,2
323.0,99.0,7.0,36.0,Spring 2020,utd,2
