GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
318.0,110.0,8.76,17.0,Fall 2019,ncsu,2
316.0,104.0,9.2,20.0,Fall 2019,ncsu,2
324.0,110.0,9.0,0.0,Fall 2019,ncsu,2
329.0,115.0,8.3,0.0,Fall 2019,ncsu,2
320.0,109.0,8.5,2.0,Fall 2019,ncsu,2
324.0,113.0,85.0,5.0,Fall 2019,ncsu,2
322.0,108.0,8.91,20.0,Fall 2019,ncsu,2
321.0,97.0,7.81,3.0,Fall 2019,ncsu,2
333.0,115.0,7.9,2.0,Fall 2019,ncsu,2
320.0,105.0,85.34,31.0,Fall 2019,ncsu,2
324.0,109.0,8.32,21.0,Fall 2019,ncsu,2
320.0,107.0,8.8,0.0,Fall 2019,ncsu,2
320.0,107.0,9.19,4.0,Fall 2019,ncsu,2
327.0,107.0,8.37,5.0,Fall 2019,ncsu,2
326.0,0.0,8.4,25.0,Fall 2019,ncsu,2
318.0,109.0,8.702,0.0,Fall 2019,ncsu,2
324.0,113.0,83.0,12.0,Fall 2019,ncsu,2
319.0,110.0,9.6,26.0,Fall 2018,ncsu,2
317.0,107.0,9.3,0.0,Fall 2019,ncsu,2
314.0,99.0,8.15,12.0,Fall 2019,ncsu,2
318.0,108.0,75.33,15.0,Fall 2019,ncsu,2
317.0,109.0,9.21,2.0,Fall 2019,ncsu,2
320.0,105.0,8.2,0.0,Fall 2019,ncsu,2
321.0,104.0,9.146,8.0,Fall 2019,ncsu,2
323.0,111.0,73.38,0.0,Fall 2019,ncsu,2
316.0,100.0,8.67,9.0,Fall 2019,ncsu,2
315.0,98.0,9.4,6.0,Fall 2019,ncsu,2
326.0,111.0,8.5,0.0,Fall 2019,ncsu,2
317.0,109.0,9.2,2.0,Fall 2019,ncsu,2
319.0,113.0,8.47,14.0,Fall 2019,ncsu,2
318.0,100.0,81.65,14.0,Fall 2018,ncsu,2
319.0,117.0,83.5,23.0,Fall 2019,ncsu,2
314.0,110.0,9.2,5.0,Fall 2019,ncsu,2
321.0,113.0,9.12,1.0,Fall 2019,ncsu,2
330.0,105.0,9.37,3.0,Fall 2019,ncsu,2
321.0,106.0,9.05,4.0,Fall 2019,ncsu,2
320.0,98.0,7.21,4.0,Fall 2019,ncsu,2
324.0,110.0,70.3,13.0,Fall 2019,ncsu,2
318.0,0.0,8.48,2.0,Fall 2019,ncsu,2
323.0,107.0,75.2,0.0,Fall 2019,ncsu,2
316.0,110.0,8.9,18.0,Fall 2019,ncsu,2
319.0,105.0,8.24,0.0,Fall 2019,ncsu,2
322.0,107.0,8.84,0.0,Fall 2019,ncsu,2
312.0,114.0,8.8,14.0,Fall 2019,ncsu,2
315.0,103.0,9.05,21.0,Fall 2019,ncsu,2
319.0,95.0,9.17,20.0,Fall 2019,ncsu,2
320.0,99.0,8.24,25.0,Fall 2019,ncsu,2
317.0,98.0,9.45,29.0,Fall 2019,ncsu,2
319.0,110.0,8.22,39.0,Spring 2020,ncsu,2
330.0,118.0,9.25,10.0,Fall 2019,ncsu,2
322.0,109.0,8.38,17.0,Fall 2019,ncsu,2
320.0,103.0,8.07,5.0,Fall 2019,ncsu,2
322.0,104.0,8.5,8.0,Fall 2019,ncsu,2
335.0,113.0,8.02,0.0,Fall 2019,ncsu,2
324.0,115.0,9.66,0.0,Fall 2019,ncsu,2
326.0,113.0,8.11,10.0,Fall 2019,ncsu,2
318.0,97.0,8.71,11.0,Fall 2019,ncsu,2
327.0,102.0,72.0,14.0,Fall 2018,ncsu,2
321.0,100.0,8.4,3.0,Fall 2019,ncsu,2
322.0,114.0,7.61,63.0,Fall 2019,ncsu,2
326.0,100.0,8.68,50.0,Fall 2019,ncsu,2
332.0,106.0,80.25,16.0,Fall 2019,ncsu,2
321.0,104.0,8.22,0.0,Fall 2019,ncsu,2
324.0,114.0,8.41,20.0,Fall 2019,ncsu,2
321.0,101.0,8.81,7.0,Fall 2019,ncsu,2
314.0,115.0,71.0,36.0,Fall 2019,ncsu,2
320.0,109.0,78.0,0.0,Fall 2019,ncsu,2
322.0,106.0,80.05,21.0,Fall 2019,ncsu,2
316.0,110.0,9.44,26.0,Fall 2019,ncsu,2
326.0,116.0,8.8,3.0,Fall 2019,ncsu,2
312.0,93.0,8.3,12.0,Fall 2019,ncsu,2
323.0,117.0,9.55,5.0,Fall 2019,ncsu,2
319.0,106.0,8.5,16.0,Fall 2019,ncsu,2
335.0,109.0,9.07,6.0,Fall 2018,ncsu,2
315.0,103.0,74.0,40.0,Fall 2019,ncsu,2
327.0,106.0,8.56,24.0,Fall 2019,ncsu,2
325.0,115.0,9.17,15.0,Fall 2020,ncsu,2
316.0,107.0,8.96,0.0,Fall 2019,ncsu,2
329.0,110.0,7.0,52.0,Fall 2019,ncsu,2
318.0,110.0,8.33,0.0,Fall 2019,ncsu,2
322.0,110.0,8.91,6.0,Fall 2019,ncsu,2
324.0,111.0,8.86,1.0,Fall 2019,ncsu,2
328.0,109.0,9.11,0.0,Fall 2019,ncsu,2
327.0,114.0,8.97,0.0,Fall 2019,ncsu,2
316.0,105.0,9.78,39.0,Fall 2019,ncsu,2
320.0,101.0,8.59,17.0,Fall 2019,ncsu,2
325.0,111.0,8.3,18.0,Fall 2019,ncsu,2
329.0,108.0,8.45,16.0,Fall 2019,ncsu,2
332.0,108.0,9.36,6.0,Fall 2019,ncsu,2
318.0,108.0,9.595,9.0,Fall 2019,ncsu,2
324.0,104.0,8.27,30.0,Fall 2019,ncsu,2
327.0,109.0,8.32,8.0,Fall 2018,ncsu,2
319.0,103.0,74.5,33.0,Fall 2019,ncsu,2
325.0,106.0,9.28,2.0,Fall 2019,ncsu,2
323.0,107.0,9.2,20.0,Fall 2019,ncsu,2
320.0,109.0,7.96,1.0,Fall 2019,ncsu,2
325.0,99.0,80.0,0.0,Fall 2019,ncsu,2
325.0,114.0,9.22,34.0,Fall 2019,ncsu,2
314.0,106.0,73.2,23.0,Fall 2019,ncsu,2
327.0,106.0,85.2,17.0,Fall 2019,ncsu,2
320.0,108.0,74.5,24.0,Fall 2019,ncsu,2
319.0,106.0,8.89,29.0,Fall 2019,ncsu,2
317.0,101.0,9.0,18.0,Fall 2019,ncsu,2
315.0,109.0,8.96,6.0,Fall 2019,ncsu,2
325.0,113.0,72.5,39.0,Fall 2019,ncsu,2
315.0,95.0,8.8,0.0,Fall 2019,ncsu,2
318.0,111.0,8.93,30.0,Fall 2019,ncsu,2
321.0,107.0,85.0,53.0,Spring 2020,ncsu,2
313.0,97.0,8.2,0.0,Fall 2019,ncsu,2
